Age,AvgWallU,AvgRoofU,AvgFloorU,AvgWindowU,TempAdj,ResponseCat,EnergyRatingCont
81,1.93,0.2,0,3.06,0.3,4,554.37
106,0.6755,1.13,0.7,4.24,0.6,1,371
14,0.55,0.13,0.41,2.8,0,1,197.85
106,0.6755,0.13,0.65,3.94,0,1,185.61
36,1.1,0.4,0.57,3.43,0.6,1,349.47
20,0.55,0.4,0.44,3.26,0.6,1,350.65
56,0.6,0.68,0.73,2.7,0.6,1,315.31
16,0.6755,0.15,0.44,2.84,0.6,1,221.82
22,0.55,0.78,0.41,2.8,0.6,1,215.03
26,0.3,0.13,0.64,2.8,0.6,3,505.19
12,0.55,0.26,0.36,2.7,0.6,1,225.47
1,0.17,0.18,0.12,1.18,0,2,52.94
16,0.55,0.13,0.36,2.7,0,1,152.66
26,0.49,0.34,0.58,2.71,0,1,158.83
19,0.49,0.4,0.29,2.8,0.6,1,258.09
9,0.37,0.39,0.34,2.7,0,1,174.5
71,0.42,0.13,0.73,2.15,0,1,227.09
12,0.6755,0.3692,0,2,0,1,109.78
77,1.55,0.4,0.66,2.7,0.6,1,366.37
40,0.31,0.13,0.65,2.7,0,1,206.78
96,2.17,2.3,0.66,4.8,0.3,5,998.77
48,0.58,0.23,0.44,3.3,0.6,1,196.16
116,2.1,0.47,0.7,4.8,0.3,1,511.45
10,0.35,0.3692,1,2.2,0,1,195.47
14,0.54,0.16,0.44,2.81,0,1,210.91
36,0.6755,0.13,0.21,1.5,0,1,117.79
66,0.6755,0.52,0.5,2.42,0,1,177
96,0.6755,0.3692,0.73,2.8,0.3,1,682.45
18,0.55,0.21,0.41,3.1,0.6,1,318.3
11,0.29,0.18,0.39,2.7,0,2,178.66
18,0.55,0.4,0.41,3.25,0.6,1,264.48
116,0.3,0.13,0.57,1.56,0,1,135.7
8,0.37,0.26,0.34,1.8,0,1,165.35
12,0.52,0.2,0.47,2.71,0,1,264.11
9,0.84,0.25,0.37,2.47,0,1,224.2
63,2.22,0.4,0.65,4.8,0.6,1,529.03
11,0.61,0.25,0,2.2,0.3,1,234.75
7,0.37,0.13,0.25,1.9,0,1,149.49
26,0.6,0.39,0.54,2.39,0,1,177.97
47,1.68,0.64,0.68,3.1,0,1,390.3
13,0.4,0.22,0.41,2.8,0,3,149.86
17,0.55,0.22,0.41,3.1,0.6,1,230.96
73,1.49,0.51,0.46,2.68,0,1,262.01
42,0.6755,2.23,0.4,4.11,0,1,221.55
7,0.27,0.15,0.12,1.61,-0.15,1,89.88
10,0.37,0.3692,0.26,2.5,0.3,4,236.86
50,0.29,0.13,0.8,2.7,-0.15,1,170.88
26,0.33,0.13,0.57,5.11,0.6,1,223.58
41,1.53,0.26,0.61,1.61,0,1,165.75
18,0.6755,0.4,0.36,2.8,0.3,4,327.43
14,0.55,0.26,0.41,3.1,0,2,252.72
13,0.6755,0.4,0,2.8,0.3,3,299.83
11,0.37,0.25,0.34,2.8,0,1,184.96
83,1.53,0.3692,0.88,2.38,0.6,1,313.52
66,1.05,0.35,0.72,2.2,0.6,1,325.65
24,0.23,0.16,0.54,1.46,0,1,149.67
13,0.55,0.4,0.41,2.71,0,1,172.78
16,0.26,0.13,0.32,1.8,0.3,4,266.47
40,1.78,0.25,0.65,2.62,0,1,316.05
8,0.37,0.26,0.21,2.7,0,1,140.9
44,1.78,0.68,0,4.8,0,1,381.57
37,0.6,0.13,0.65,2.7,0.6,1,225.36
14,0.55,0.35,0.41,2.7,0,1,188.94
10,0.37,0.1,0.25,2.7,0.6,1,146.8
9,0.37,0.25,0.44,1.85,0,2,197.41
18,0.55,0.4,0.36,2.72,0.6,1,239.12
66,1.59,0.28,0.69,3.1,0.6,1,319.01
36,1.1,0.4,0.6,2.8,0.6,1,338.01
136,0.6755,1.98,0.59,3.31,0.3,1,823.01
9,0.37,0.3692,0,1.77,0,1,98.24
65,0.27,0.78,0.66,3.1,0.6,1,316.82
5,0.27,0.3692,0,2,0,1,78.63
27,0.6,0.4,0.57,3.1,0,1,297.98
71,0.99,0.9,0.74,4.8,0.6,1,299.66
15,0.54,0.25,0.41,2.97,0,1,154.82
41,0.19,0.16,0.49,1.68,0.6,1,157.2
22,0.31,0.13,0.44,2.04,0.6,1,309.03
11,0.37,0.2,0.37,2.7,0,1,160.93
71,0.33,0.13,0.61,1.4,0,1,131.26
12,0.55,0.2,0.41,2.7,0,1,159
17,0.54,0.4,0.41,3.1,0.3,1,310.98
40,0.37,0.25,0.73,2.8,0.6,1,242.67
12,0.55,0.3692,0,2.8,0.3,4,200.92
8,0.37,0.2,0.34,2.8,0,1,173.96
36,0.23,0.17,0.6,2.8,0.6,3,278.69
19,0.3,0.13,0.44,2.8,0.6,1,211.48
8,0.2,0.3692,0,1.8,0,1,84.99
46,0.33,0.13,0.7,2.74,0.6,1,266.76
20,0.52,0.4,0,2.8,0,1,224.81
116,0.93,0.29,0.59,2.73,0.6,1,265.66
18,0.31,0.4,0.29,2.8,0,1,229.17
28,0.35,0.13,0.64,2.7,0.6,3,379.14
10,0.37,0.2,0.4,2.32,0,1,177.34
13,1,0.23,0.36,2.8,0.6,1,235.47
38,1.1,0.35,0.62,2.8,0.6,1,278.89
46,0.29,0.13,0.61,2.6,0.6,1,211.64
12,0.3,0.35,0.36,2.3,0.3,4,302.52
17,0.55,0.4,0.41,2.7,0.6,1,206.79
10,0.37,0.25,0.34,2.6,0,1,191.94
41,0.66,1.01,0.57,2.22,0,1,147.66
46,1.41,2.3,0.94,2.8,0,1,694.24
44,0.31,0.13,0.62,2,0.6,1,190.82
61,1.74,0.13,0.56,2.8,0.6,1,296.07
19,0.6755,0.3692,0.44,2.7,0.3,4,402.03
33,0.32,0.13,0.7,2,0,1,180.28
11,0.37,0.25,0.26,2.2,0,2,190.12
49,0.31,0.62,0.67,2.79,0.6,1,293.22
116,1.96,2.18,0.48,4.8,0.6,1,508.98
14,0.31,0.16,0.41,2.7,0,1,235.92
76,1.17,0.3692,0,4.8,0,1,492.17
16,0.21,0.13,0.36,3.1,0,1,151.5
36,0.4,0.27,0.29,3.41,0,1,163.64
13,0.55,0.4,0.41,2.8,0,1,155.11
106,1.79,2.3,0,2.85,0,1,542.74
35,0.91,0.4,0.68,3.51,0.6,1,336.24
13,0.78,0.3692,0.36,3.1,0,1,167.71
9,0.32,0.3692,0.31,2.6,0,1,147.5
11,0.37,0.24,0.34,2.72,0.6,1,192.94
10,0.36,0.22,0.34,1.9,0,1,128.54
15,0.55,0.27,0.41,2.79,0,1,195.83
19,0.55,0.4,0.41,2.83,0,1,179.74
13,0.55,0.36,0.36,2.2,0,1,224.84
25,0.6755,0.13,0.57,2.75,0,1,149.92
11,0.37,0.26,0,2.26,0,1,142.22
21,0.3,0.13,0.36,3.15,0,1,153.36
28,0.59,0.26,0.64,3.4,0.6,1,312.25
35,0.87,0.49,0.52,2.4,0,1,223.67
31,0.6,0.4,0,2.1,0.6,1,283.56
116,2.1,2.3,0.97,4.8,0.3,1,1110.06
49,0.27,0.29,0.8,3.07,0,1,266.05
17,0.55,0.3692,0,2.8,0,3,208.37
13,0.57,0.3692,0,2.7,0,1,159.48
10,0.22,0.21,0.37,1.9,0,2,243.01
11,0.37,0.2,0.37,2.2,0,1,218.01
79,2.1,1.17,0.65,5.7,0.6,1,449.55
23,0.6755,0.3692,0.8,3.1,0,4,433.57
18,0.6755,0.3692,0,2.8,0.3,4,174.48
12,0.55,0.2,0.54,3.1,0,1,311.65
2,0.2,0.14,0.2,1.3,0,1,60.8
33,0.6,0.5,0.51,2.79,0,1,219.21
21,0.59,0.35,0.44,2.79,0.3,4,673.46
31,0.6,0.2,0.7,2.8,0.6,1,315.52
15,1.13,0.36,0,2.72,0,1,132.74
12,0.27,0.13,0.44,3.1,0,2,247.43
40,2.4,0.4,0.73,5.34,0.6,1,457.24
17,0.55,0.24,0.41,2.7,0.6,1,198.03
2,0.19,0.11,0.17,1.01,-0.15,1,60.51
10,0.37,0.25,0.37,1.9,0.6,1,200.64
10,0.73,0.25,0,2.1,0.3,5,329.59
38,1.07,0.5,0.57,2.89,0.6,1,329.12
14,0.27,0.13,0.41,2.75,0.6,1,214.69
56,0.35,0.13,0.73,2.8,0.6,1,326.31
30,0.31,0.16,0.48,2.77,0.6,1,196.61
37,0.6,0.26,0.48,3.47,0,1,181.02
56,2.12,0.4,0.94,2.6,0,1,660.13
1,0.6755,0.11,0.12,1.3,0,1,63.32
35,0.34,0.26,0.57,2.8,0.6,1,274.4
9,0.27,0.13,0.25,1.82,0,1,153.4
34,1.1,0.4,0.57,3.1,0.6,1,291.76
14,0.34,0.22,0.41,2.7,0.6,1,191.5
45,1.7,0.4,0.73,3.1,0,1,375.83
11,0.6755,0.13,0.34,2.7,0,1,143.11
77,0.38,0.28,0.77,2.77,0.6,1,299.92
8,0.69,0.22,0,1.8,0.3,4,339.25
14,0.27,0.13,0.41,2.6,0.6,1,197.42
20,0.55,0.13,0.41,2.8,0.6,3,282.72
66,0.6,0.4,0.76,2.92,0,1,165.64
48,2.04,0.18,0.63,4.29,0,1,284.13
13,0.55,0.3692,0.36,3.1,0,4,269.18
9,0.6755,0.15,0.19,1.93,0,1,76.12
11,0.19,0.16,0.34,2.2,0,1,142.61
11,0.34,0.3692,0.44,2.1,0,3,329.35
16,0.6755,0.13,0.36,2.82,0.6,1,209.27
26,0.6,0.2,0.6,3.45,0,1,220.35
87,2.12,0.95,0.79,1.9,0,1,364.15
5,0.25,0.19,0,1.36,0,1,58.5
31,0.27,0.14,0.64,2.8,0.6,1,288.96
104,1.78,1.58,1.1,3.7,0.6,1,408.09
35,0.6,0.16,0.38,3.3,0,1,192.6
11,0.29,0.13,0.37,3.1,0,1,173.28
45,0.6,0.13,0.72,3.15,0.6,1,284.7
43,0.31,0.15,0.52,3.12,0,1,207.37
30,0.3,0.13,0.64,1.6,0.6,1,220.73
44,1.78,0.75,0.75,2.8,0.6,1,377.68
8,0.6755,0.15,0.19,1.57,0,1,120.81
40,0.6755,0.4,0.65,3.12,0,4,543.36
18,0.24,0.13,0.41,3.1,0,1,158.93
126,1.98,2.3,0,2.92,0.3,4,765.99
71,1.89,0.39,0.61,2.56,0.6,1,381.89
12,0.55,0.2,0.44,2,0,1,189
21,0.29,0.4,0.41,2.8,0,1,149.51
12,0.55,0.36,0.44,2.1,0.6,1,251.31
13,0.55,0.26,0.37,2.8,0,1,122.12
15,0.3,0.15,0.41,2.94,0,1,187.47
16,0.27,0.24,0.41,2.71,0.6,1,176.12
1,0.2,0.11,0.12,1.17,0,2,53.3
12,0.6755,0.2,0.41,2.89,0,1,209.34
10,0.37,0.19,0.26,1.95,0,1,126.36
32,0.6,0.13,0.55,2.94,0.6,1,250.21
9,0.6755,0.25,0,2.06,0,1,165.18
37,0.28,0.15,0.47,2.3,0,1,169
81,0.85,0.31,0.53,3.15,0.6,1,221.13
22,0.44,0.31,0.38,2.83,0.6,1,199.82
13,0.55,0.35,0,3.4,0,1,226.77
32,0.28,0.13,0.64,2.7,0.6,3,296.79
36,0.63,0.19,0.62,3.1,0,1,246.6
96,1.48,2.3,0.85,4.56,0.3,1,602.53
32,0.58,0.15,0.55,2.43,0,1,314.39
76,0.89,0.4,0.73,2.7,0,1,231.42
37,0.27,0.13,0.57,1.98,0,1,189.58
25,0.6755,0.4,0.57,2.7,0,1,360.58
12,0.28,0.17,0.37,2.17,0,1,156.44
31,0.68,0.3692,0.57,2,0.6,1,331.72
41,0.57,1.54,0.56,2.82,0.6,1,290
136,2.1,2.3,0.79,2.8,0.3,4,874.7
62,1.5,0.4,0.73,3.7,0.6,1,406.53
40,1.87,0.29,0.58,2.77,0.6,1,321.97
41,0.35,0.13,0.84,3.1,0,1,182.96
116,0.73,0.4,0.8,3.1,0,1,248.73
9,0.37,0.3692,0.34,2.1,0,1,165.77
21,0.55,0.4,0.44,3.1,0.6,1,255.94
40,0.48,0.13,0.63,2.2,0,1,190.16
21,0.55,0.2,0.45,3.1,0,1,185.34
25,0.31,0.33,0.57,2.8,0.6,1,232.01
30,0.6,0.4,0.48,2.7,0,1,222.12
11,0.26,0.3692,0.39,2.2,0.6,1,226.72
14,0.6755,0.4,0.41,2.67,0,1,187.39
19,0.6755,0.13,0.44,2.16,0,1,183.9
1,0.14,0.12,0.12,0.92,0,3,48.45
66,0.34,0.16,0.61,3.1,0.6,1,256.42
82,2.1,2.3,0.73,3.1,0.6,1,458.93
49,0.27,0.13,0,2.7,0.6,3,290.66
76,2.1,2.3,0.61,3.25,0,1,276.85
13,0.95,0.36,0,2.8,0.3,1,337.41
66,1.62,1.47,0.66,2.9,0.6,1,461.09
4,0.13,0.13,0.14,1.52,0,1,74.28
6,0.2,0.13,0,2.3,0,1,97.38
116,1.64,2.3,0,3.21,0.3,4,392.6
12,0.33,0.13,0.41,2.3,0.6,2,299.78
110,0.59,1.04,0.58,3.05,0.6,1,339.89
18,0.3,0.4,0.41,3.1,0.6,1,209.23
37,1.1,0.4,0.55,2.7,0,1,289.57
27,0.3,0.49,0.64,2.8,0.6,1,233.41
126,1.97,2.3,1.16,4.8,0.3,3,1737.86
40,0.6755,0.13,0.84,2.8,0.6,1,218.64
116,1.94,2.3,0.77,3.71,0.3,4,883.39
32,0.29,0.13,0.64,2.7,0.6,1,275.56
31,0.6,0.4,0.57,3.1,0.6,1,312.47
96,1.8,0.42,0.86,2.82,0.6,1,378.15
9,0.32,0.18,0.26,2,0,1,170.11
42,0.6,0.24,0.65,3.1,0.3,4,460.11
22,0.55,0.3692,0.44,2.92,0.6,1,323.09
39,0.29,0.42,0.84,3.27,0,1,206.7
86,0.27,0.39,0.36,2.91,0.6,1,263.23
8,0.3,0.19,0,1.8,0,1,148.34
8,0.27,0.14,0.15,1.7,0,1,114.19
25,0.33,0.4,0.49,3.49,0,1,184.47
66,1.64,2.3,0.46,3.34,0.3,5,498.47
10,0.33,0.15,0.31,2.35,0,1,153.08
126,1.1,0.26,0,2.7,0.6,1,208.95
37,0.26,0.4,0.57,2.79,0.6,1,231.18
8,0.37,0.31,1,2.18,0.3,1,239.63
38,1.1,0.3692,0,2.8,0,1,161.83
58,0.4,0.13,0.57,4.14,0.6,1,274.77
16,0.55,0.26,0.44,1.9,0.3,4,436.9
20,0.55,0.16,0.44,2.7,0.6,1,338.7
39,0.6755,1.25,0.73,2.1,0.6,1,306.76
24,0.31,0.13,0.64,3.1,0.6,1,357.04
40,0.6755,2.25,0.83,2.8,0,1,289.11
19,0.28,0.23,0.41,2.3,0,1,196.45
63,0.32,0.13,0.84,4.02,0.6,1,338.86
16,0.28,0.13,0.41,2.96,0.6,3,457.93
17,0.55,0.4,0.41,2.7,0.6,1,221.77
41,1.21,0.4,0.55,3.64,0.6,1,334.28
19,0.3,0.17,0.44,2.95,0.6,1,232.9
12,0.55,0.4,0.97,2.32,0.3,2,472.55
13,0.55,0.14,0.41,2.8,0.6,1,221.52
56,1.64,2.3,0.94,2.87,0,1,449.96
13,0.6755,0.4,0.41,3.1,0.6,1,281.48
47,0.47,0.22,0.8,1.7,0,1,136.11
66,0.27,0.27,0.79,2.63,0.6,1,248.25
41,0.29,0.15,0.57,1.94,0.6,1,167.44
34,0.6755,0.34,0.61,2.77,0,1,234.97
10,0.37,0.4,0.34,2.6,0.6,1,263.64
11,0.29,0.14,0.26,1.7,0,1,121
81,1.7,2.3,0,2.8,0,4,1034.33
12,0.33,0.13,0.41,2.3,0.6,1,269.18
116,0.6755,2.25,0.73,4.4,0.3,5,905.06
31,0.6755,0.68,0.48,2.87,0.6,1,293.95
12,0.31,0.25,0.44,2.8,0,1,157.38
61,0.35,0.34,0.48,2.4,0,1,173.97
77,0.37,0.3692,0,2.1,0,1,110.96
25,0.56,0.39,0.59,3.02,0.6,1,295.94
7,0.19,0.25,0.34,2.06,0,1,118.03
30,0.6,0.44,0.57,4.25,0,1,275.86
8,0.44,0.35,0.29,2,0,4,266.68
42,0.6755,0.13,0.73,3.1,0.6,1,271.7
44,0.27,0.13,0.73,2.8,0.6,1,296.93
18,0.28,0.3692,0.47,2.8,0,4,322.75
41,0.36,0.14,0.73,2.8,0.6,1,220.74
61,2.4,0.16,0.56,4.8,0.6,3,535.02
0,0.21,0.11,0.14,1.41,0,1,47.65
14,0.31,0.13,0.29,2.8,0,1,162.54
8,0.6755,0.38,0.37,2.86,0.6,1,200.11
7,0.27,0.15,0.25,2.1,0,1,164.47
36,1.08,0.4,0.64,2.97,0,1,236.75
18,0.6755,0.13,0.36,2.7,0.6,1,284.42
89,0.27,0.21,0.58,2.78,0,1,150.41
66,0.22,0.27,0.54,2.61,0.6,1,219.37
21,0.32,0.2,0.41,2.7,0,1,183.26
10,0.27,0.13,0.37,1.9,0.6,3,308.12
11,0.37,0.25,0.26,2.3,-0.1,1,119.44
80,1.6,0.26,0.72,2.3,0,1,312.86
8,0.27,0.16,0.25,1.7,0.6,1,117.98
27,0.6755,0.4,0.57,3.38,0.6,1,259.03
31,0.31,0.16,0.64,3.1,0.6,1,320.28
21,0.6,0.3692,0.38,2.8,0,3,332.17
22,0.28,0.13,0.44,2.22,0,1,178.71
16,0.55,0.26,0.47,3.1,0.6,1,312.28
66,0.28,0.63,0.77,5.6,0.6,3,717.78
26,0.6,0.21,0.57,3.47,0,1,264.35
3,0.6755,0.3692,0.15,1.3,0,1,58.6
24,0.6,0.3692,0.38,3.1,0.3,4,379.91
3,0.15,0.11,0.15,0.74,-0.25,2,67.34
43,0.39,0.48,0.63,2.41,0.6,1,261.79
38,0.6,0.13,0.57,2.7,0,1,193.82
34,0.3,0.13,0.6,2.28,0,1,242.92
16,0.55,0.3692,0,2.8,0.3,5,282.28
34,0.6,0.26,0.64,3.35,0.6,1,275.57
7,0.17,0.12,0.11,2.3,0,1,126.49
18,0.28,0.15,0.36,2.52,0.6,1,205.44
27,0.59,0.4,0,2.7,0.3,4,449.58
9,0.37,0.37,0.37,2.7,0.6,1,197.82
56,1.17,0.57,0.66,2.73,0,1,271.33
30,0.3,0.13,0.64,2.75,0,1,171.31
24,0.6,0.4,0.56,2.73,0.6,1,233.4
9,0.37,0.25,0.41,2.1,0,1,161.88
56,2.2,2.3,0.84,4.8,0.6,1,803.54
20,0.55,0.3692,0,2.8,0,1,393.87
61,2.1,0.13,0.46,3.1,0.6,1,523
37,0.37,0.13,0.48,3.1,0,1,177.37
76,2.1,0.13,0.84,2.2,0.6,1,412.69
11,0.37,0.21,0.34,2.2,0,1,196.25
17,0.31,0.13,0.44,3.1,0,1,154.58
96,1.31,1.38,0.46,4.45,0,1,288.15
16,0.72,0.3692,0,3.1,0,2,254.55
122,2.1,2.3,0.73,5.6,0.3,3,1456.14
14,0.55,0.4,0.44,2.8,0.6,1,234.53
14,0.62,0.4,0.5,2.82,0.6,1,293.69
36,0.34,0.13,0.7,2.8,0,1,178.98
11,0.69,0.3692,0,2.2,0.3,1,189.09
36,0.31,0.13,0.57,3.71,0,1,191.53
86,1.61,1.36,0.67,4.8,0.3,4,550.36
9,0.37,0.16,0.34,2.7,0,1,181.48
156,2.1,0.13,1.02,2.1,0.6,1,422.93
15,0.55,0.4,0.29,2.88,0,1,154.7
26,0.29,0.13,0.64,2.7,0,1,201.03
12,0.55,0.26,0.41,2.8,0.6,1,209.03
17,0.55,0.36,0.44,2.77,0.6,1,198.78
14,0.55,0.3692,0,2.8,0,5,254.63
11,0.6755,0.3692,0.34,2.8,0,1,210.07
43,1.26,0.35,0.51,2.44,0,1,207.31
96,0.6755,0.85,0.73,2.73,0,1,165.93
13,0.3,0.16,0.44,2.7,0.6,3,267.11
44,0.26,0.22,0.54,3.07,0.6,1,296.31
24,0.31,0.2,0.64,2.78,0.6,1,198.23
22,0.6755,0.13,0.44,2.7,0,1,246.43
32,0.33,0.13,0.57,2.7,0.6,1,199.92
13,0.55,0.36,0.36,2.9,0,1,208.74
34,0.5,0.2,0.57,2.76,0.6,1,310.32
12,0.32,0.2,0.6,2.7,0.3,2,226.36
41,0.28,0.13,0.61,2.8,0.6,2,321.02
55,1.95,0.13,0.99,2.6,0.6,1,448.33
2,0.6755,0.11,0.16,1.3,0,1,60.42
9,0.37,0.3692,0,2.2,0,1,106.97
36,1.04,0.5,0.57,3.74,0.6,1,459.87
5,0.37,0.26,0.37,2.7,0,1,157.44
12,0.52,0.3692,0,2.7,0.3,4,184.66
9,0.26,0.22,0.17,1.84,0,1,124.73
9,0.26,0.2,0.25,1.6,0,1,138.51
16,0.55,0.38,0.44,2.76,0.6,1,198.54
27,0.6,0.41,0.64,3.7,0.6,1,280.57
11,0.37,0.22,0.37,2.2,0,1,113.95
9,0.62,0.3692,0,2,0,1,103.15
21,0.55,0.3692,0.44,3.1,0,1,355.9
40,0.32,0.13,0.73,3.71,0.6,1,370.56
86,2.1,0.13,0.73,4.14,0,1,268.39
14,0.55,0.34,0.44,3.07,0,3,224.82
6,0.25,0.17,0,1.1,0.6,1,121.07
14,0.55,0.35,0.41,2.8,0,1,252.2
16,0.6755,0.25,0.26,2.8,0,3,299.25
37,0.6755,0.25,0.57,2.7,0,1,252.7
16,0.55,0.39,0.41,3.1,0,3,208.1
116,0.46,0.24,0.37,2.14,0,1,223.33
28,0.31,0.13,0.57,2.22,0,1,162.45
76,1.78,2.3,0.94,4.8,0.6,1,506.55
24,0.26,0.13,0,2.2,0,1,184.98
7,0.6755,0.25,0.32,1.41,0,1,122.77
42,0.36,0.24,0.84,2.1,0.6,1,291.42
37,0.29,0.3,0.57,2.74,0.6,1,213.23
23,0.58,0.49,0.79,3.1,0.3,1,301.7
44,0.38,0.45,0.73,2.92,0,1,184.38
31,0.27,0.13,0.64,2.7,0.6,1,218.58
41,1.49,0.3692,0,5.7,0.3,4,361.35
96,2.1,2.3,0.61,4.8,0.3,5,1181.67
86,1.19,0.69,0.3,2.7,0.3,3,323.72
156,1.88,1.66,0.43,2.58,0,1,276.85
40,0.6,0.13,0.94,3.1,0.3,3,458.68
12,0.55,0.13,0.41,2.34,0,1,209.93
23,0.6,0.27,0.64,3.1,0.6,1,297.04
17,0.47,0.3692,0.41,1.43,0,1,181.42
46,1.68,0.3692,1.02,4.8,0.3,1,646.65
25,0.6,0.4,0.38,3.67,0,1,309.17
46,1.78,2.3,0.57,5.7,0.6,1,406.76
37,0.31,0.13,0.64,4.8,0.6,1,327.06
37,0.27,0.2,0.57,2.78,0,1,269.73
25,0.6,0.44,0.57,2.98,0.6,1,275.25
16,0.37,0.36,0.44,3.16,0.6,1,252.02
29,0.25,0.23,0.39,2.82,0.6,1,229.95
56,0.6,2.3,0.73,3.1,0.6,1,277.79
38,0.29,0.13,0.5,1.8,0.6,1,202.21
12,0.55,0.26,0,2.1,0,1,222.9
40,1.78,0.2,0.73,3.21,0,1,285.16
12,0.55,0.3692,0.44,2.8,0,1,186.86
66,0.6755,0.15,0.67,2.7,0,1,193.21
11,0.34,0.3692,0,2.3,0,3,208.83
12,0.46,0.3692,0,1.51,0,1,192.05
13,0.55,0.26,0.37,2.8,0.6,1,182.09
11,0.33,0.3692,0,2.8,0,4,199.86
26,0.67,0.3692,0.57,3.1,0.3,1,331.43
10,0.37,0.2,0.31,2.1,0,1,176.41
22,0.6755,0.4,0.44,3.4,0.6,1,294.31
86,0.29,0.13,0.4,1.84,0.6,1,216.3
10,0.37,0.2,0.31,2.09,0,1,162.12
16,0.55,0.4,0.41,2.8,0.6,1,244.88
10,0.27,0.16,0.34,1.93,0.6,1,151.8
18,0.27,0.13,0.44,3.1,0.6,1,214.28
13,0.28,0.13,0.36,2.8,0.6,1,159.74
121,1.23,0.57,0.58,3.1,0.6,1,323.86
21,0.55,0.13,0.44,3.1,0.6,1,336.42
5,0.14,0.17,0.16,1.65,0,1,110.55
18,0.55,0.4,0.41,2.8,0.6,4,326.2
12,0.6755,0.3692,0,2,0,1,169.56
86,2.2,2.3,0.94,4.8,0.3,4,941.64
99,2.1,0.25,0.5,2.8,0,2,289.76
56,1.73,0.43,0.65,2.7,0,1,316.12
116,0.6755,0.16,0.76,2.88,0.6,1,207.74
6,0.23,0.14,0.17,1.99,0,1,158.08
1,0.18,0.14,0.17,1.2,0,1,68.72
36,0.29,0.16,0.57,2.8,0,1,229.19
36,0.28,0.13,0.48,2.7,0.6,3,304.37
12,0.55,0.35,0.36,2.3,0,1,167.08
12,0.55,0.21,0.44,2.08,0,1,204.82
42,0.25,0.2,0.55,2.8,0,1,148.06
44,1.78,0.2,0.73,2.7,0.6,1,495.17
10,0.37,0.14,0.31,2.29,0,4,153.44
36,0.52,0.13,0.63,2.7,0.6,1,209.13
34,0.28,0.4,0.23,3.42,0.6,3,259.5
40,1.78,0.2,0.61,2.8,0.6,3,317.53
38,1.1,0.4,0.48,2.7,0.6,1,283.32
44,0.25,0.26,0.55,2,0,1,213.65
18,0.55,0.36,0.47,3.1,0.6,1,297.47
41,1.73,0.13,0.75,2.8,0,1,259.16
10,0.27,0.13,0.25,1.9,0,1,138.55
15,0.55,0.35,0.47,2.83,0.6,1,298.33
16,0.32,0.26,0.41,2.79,0.6,1,254.79
116,2.19,2.3,1.09,2.7,0.6,1,829.63
17,0.28,0.13,0.44,2.7,0,1,225.42
88,1.21,2.3,0.77,4.16,0,1,323.49
12,0.27,0.23,0.41,2.7,0.6,1,180.9
20,0.29,0.13,0.45,3.1,0,1,165.01
28,0.6,0.4,0.64,2.8,0.6,1,257.87
16,0.31,0.24,0.44,2.7,0.6,1,221.51
96,0.6755,0.16,0.28,2.5,0,1,141.06
12,0.29,0.35,0.41,2.3,0.3,4,334.43
13,0.55,0.16,0.41,2.87,0,1,208.37
45,0.27,1.4,0.73,1.47,0.6,1,214.98
96,2.1,2.3,0.73,2.8,0.6,1,448.04
29,0.27,0.39,0.57,1.7,0,1,181.64
12,0.33,0.13,0.41,1.8,0,1,183.74
15,0.55,0.3692,0.29,2.7,0.3,4,259.99
86,1.22,0.35,0.75,3.1,0.6,1,338.56
33,1.07,0.3692,0.8,2,0,1,191.52
32,0.6,0.26,0.55,2.2,0.6,1,296.85
25,0.27,1.35,0.57,2.97,0,1,143.65
86,0.68,0.4,0.73,2.81,0,1,303.3
17,0.55,0.4,0.44,3.1,0.6,1,198.34
9,0.28,0.12,0.26,1.92,0,4,89.19
40,0.27,0.13,0.84,2.43,0,1,188.09
17,0.55,0.4,0.44,3,0,1,252.17
20,0.6755,0.3692,0.36,2.7,0.3,4,395.21
8,0.27,0.23,0,2.4,0,4,231.3
7,0.37,0.24,0.34,1.93,0.6,1,138.36
11,0.36,0.25,0,2.3,0,3,253.35
16,0.27,0.17,0.44,2.8,0.6,1,293.84
76,0.6755,0.25,0.7,4.8,0.6,1,320.67
8,0.34,0.3692,0,2.5,0,3,212.53
31,0.6,0.13,0.64,3.1,0.6,1,340.9
11,0.6755,0.4,0.34,2.2,0,1,198.46
38,0.26,0.13,0.44,2.36,0,1,193.61
16,0.55,0.38,0.41,2.78,0.6,1,202.01
22,0.29,0.13,0.36,2.8,0.6,1,234.6
116,0.27,0.14,1.23,1.9,0,3,298.9
26,0.36,0.27,0.64,3.64,0.6,1,245.91
30,0.27,0.13,0.57,2.8,0.6,1,202.72
10,0.77,0.3692,0,2.2,0,1,108.28
86,1.97,0.7,0.61,3.75,0,1,301.62
12,0.55,0.26,0.41,2,0.6,1,230.88
31,0.27,0.13,0.48,2.7,0.6,1,241.91
36,0.6,0.4,0.57,3.06,0.6,1,388.59
11,0.23,0.13,0.31,2.7,0,1,153.27
21,0.55,0.4,0.41,2.8,0.6,1,219.98
12,0.49,0.35,0,3.6,0,3,333.36
35,0.31,0.13,0.64,2.1,0,1,217.36
18,0.55,0.25,0.39,2,0,1,187.78
94,0.44,0.16,0.23,2.8,0.6,1,217.7
22,0.55,2.3,0.44,3.1,0.6,1,532.42
